Ticker,date,value,volume
NasdaqGS:INTC,4/25/2014,26.26,33.61721
NasdaqGS:INTC,4/28/2014,26.33,33.47282
NasdaqGS:INTC,4/29/2014,26.48,22.146
NasdaqGS:INTC,4/30/2014,26.69,25.86393
NasdaqGS:INTC,5/1/2014,26.45,19.75525
NasdaqGS:INTC,5/2/2014,26.41,24.23646
NasdaqGS:INTC,5/5/2014,26.17,20.73895
NasdaqGS:INTC,5/6/2014,26.2,21.81828
NasdaqGS:INTC,5/7/2014,26.37,24.69326
NasdaqGS:INTC,5/8/2014,26.34,24.16853
NasdaqGS:INTC,5/9/2014,26.3,20.32441
NasdaqGS:INTC,5/12/2014,26.37,20.60777
NasdaqGS:INTC,5/13/2014,26.45,20.52497
NasdaqGS:INTC,5/14/2014,26.33,17.81191
NasdaqGS:INTC,5/15/2014,26.01,31.75275
NasdaqGS:INTC,5/16/2014,25.82,30.01758
NasdaqGS:INTC,5/19/2014,26.04,22.68085
NasdaqGS:INTC,5/20/2014,26.04,22.29321
NasdaqGS:INTC,5/21/2014,26.2,18.72159
NasdaqGS:INTC,5/22/2014,26.15,15.92652
NasdaqGS:INTC,5/23/2014,26.289,17.17802
NasdaqGS:INTC,5/27/2014,26.71,27.27194
NasdaqGS:INTC,5/28/2014,26.88,27.15017
NasdaqGS:INTC,5/29/2014,26.96,20.64003
NasdaqGS:INTC,5/30/2014,27.32,43.64101
NasdaqGS:INTC,6/2/2014,27.26,20.26567
NasdaqGS:INTC,6/3/2014,27.66,33.25703
NasdaqGS:INTC,6/4/2014,27.6,21.61273
NasdaqGS:INTC,6/5/2014,27.66,26.5463
NasdaqGS:INTC,6/6/2014,28.17,34.7956
NasdaqGS:INTC,6/9/2014,27.91,39.93431
NasdaqGS:INTC,6/10/2014,28.24,34.26063
NasdaqGS:INTC,6/11/2014,27.93,27.74928
NasdaqGS:INTC,6/12/2014,27.96,31.21144
NasdaqGS:INTC,6/13/2014,29.87,122.1943
NasdaqGS:INTC,6/16/2014,30.01,36.40779
NasdaqGS:INTC,6/17/2014,29.95,28.44122
NasdaqGS:INTC,6/18/2014,29.93,34.41275
NasdaqGS:INTC,6/19/2014,30.09,27.16685
NasdaqGS:INTC,6/20/2014,30.2,39.82986
NasdaqGS:INTC,6/23/2014,30.23,26.52964
NasdaqGS:INTC,6/24/2014,30.5,53.39811
